,x,y,labels
328,-24.1025,-20.15107,anti
329,-1.8552473,-8.130413,anticipation
330,-33.64618,31.975271,antisocial
331,-13.27669,56.655033,antonio
332,-39.85141,20.300156,ants
333,52.9557,21.26865,anw
334,-31.4192,-39.55418,anxiety
335,14.641675,11.746848,anxious
336,30.635796,-40.911743,anybody
337,17.582176,15.990615,anyhoo
338,48.055954,-18.985453,anymore
339,42.413322,32.94647,anythin
340,12.808751,-4.475471,anytime
341,55.96874,-30.037807,anyways
342,41.22902,28.456512,anywayz
343,28.43339,15.527854,anywho
344,5.093384,-37.184334,aol
345,41.19954,3.2477682,ap
346,23.74937,-53.89568,apart
347,23.384249,-10.895068,apartment
348,0.8226762,1.2910799,apologies
349,0.34853125,2.3545818,apologise
350,2.3603516,2.4166582,apologize
351,4.264896,15.19419,apologized
352,0.33030587,2.1635365,apology
353,-0.54300565,-12.067498,apparent
354,39.725975,-39.813812,apparently
355,-21.246246,-8.372024,appeal
356,-11.648139,-2.2777188,appealing
357,7.0553107,-45.97443,appear
358,5.4939528,-48.683197,appearance
359,14.262174,-25.714136,appeared
360,-16.453978,-0.09477042,appearing
361,3.256201,-46.403805,appears
362,-13.558444,-1.9585675,appetite
363,-9.276132,37.755028,applause
364,-70.30073,21.027699,apple
365,-67.1103,21.243504,apples
366,-4.207595,-37.2994,application
367,-3.9188077,-36.869686,applications
368,19.93028,4.6594563,applied
369,-15.806441,-23.897583,applies
370,-8.024669,-38.67274,apply
371,19.936295,4.672308,applying
372,10.280081,21.908867,appointment
373,25.207275,-47.034527,appreciate
374,-9.414337,-3.784797,appreciated
375,-12.097297,-10.678361,appreciation
376,-13.921781,-28.756662,approach
377,-42.28812,1.4397017,approached
378,-17.285389,1.1287075,approaching
379,-1.1545655,-36.832058,appropriate
380,-18.133947,-10.230443,approval
381,-16.07485,-5.2442403,approve
382,-24.82899,-12.342281,approved
383,15.713161,-8.09385,approximately
384,33.63906,-5.7604427,april
385,19.560156,8.673416,apush
386,62.31792,17.935282,ar
387,33.365993,36.53747,arcade
388,4.688943,-33.01046,archive
389,4.8162146,-32.81312,archives
390,56.309418,16.925928,ard
391,29.886583,-25.398645,area
392,-17.44616,-38.992943,areas
393,-9.092086,-6.9957886,aren
394,-4.849009,27.485271,arena
395,25.005743,12.464392,arent
396,13.724289,14.64118,arg
397,46.36714,19.606815,argh
398,-18.826786,-29.12731,argue
399,-15.435679,-4.5507283,argued
400,7.3425403,2.5384154,arguing
401,-19.250763,-29.16152,argument
402,-19.534565,-29.060822,arguments
403,57.4835,24.24365,arh
404,-44.360603,-5.7583284,arianna
405,4.247915,41.082504,ariel
406,-15.277908,58.425846,arizona
407,-26.608057,-10.097614,arkansas
408,-30.530045,-55.464645,arm
409,-38.351566,-24.373192,armed
410,-55.307774,-19.944088,armor
411,24.15136,-58.333687,arms
412,-7.726342,30.6591,armstrong
413,-35.27466,-28.084066,army
414,52.1431,21.030144,arnd
415,-34.70856,35.95148,arnold
416,-1.4019378,14.034797,arrange
417,-13.461924,2.6081266,arranged
418,-31.923729,-25.296146,arrested
419,-27.214039,12.046489,arrival
420,24.073057,-9.841102,arrive
421,36.90736,-23.467302,arrived
422,-24.988096,11.69197,arrives
423,-27.65224,12.290836,arriving
424,2.430456,4.871127,arrogant
425,-41.419903,6.478591,arrow
426,10.725688,7.0728955,arse
427,-39.551212,43.01703,arsenal
428,32.466515,-44.5744,art
429,-55.93069,-21.05916,arthur
430,18.861956,-45.074604,article
431,-2.717366,-28.694235,articles
432,-38.69121,-9.751445,artificial
433,-23.662195,43.33653,artist
434,-10.130228,-18.572609,artistic
435,-23.551779,42.986797,artists
436,22.240362,5.2114606,arts
437,-13.339857,32.059906,arv
438,27.580526,24.120062,asap
439,-13.638406,28.802122,asb
440,15.310262,50.473614,ash
441,-4.8175116,-9.421258,ashamed
442,-38.49853,-4.8155456,ashes
443,-25.193264,45.208347,ashlee
444,10.156585,44.75043,ashleigh
445,60.947445,-1.0572397,ashley
446,2.1417198,48.342518,ashton
447,0.3090169,36.127888,ashwin
448,-42.66576,39.621006,asia
449,28.963459,-3.638548,asian
450,-7.872615,13.791128,asians
451,23.822771,-40.02983,aside
452,53.111767,-36.397705,ask
453,53.646538,-32.83244,asked
454,46.551765,29.036983,askin
455,44.722076,-20.577463,asking
456,19.930407,-19.708853,asks
457,47.8788,-23.642754,asleep
458,-14.581305,31.110565,asp
459,-13.840561,-26.958672,aspect
460,-13.486449,-26.790527,aspects
461,53.538868,-28.005287,ass
462,-50.923073,-19.529108,assault
463,33.843594,15.967994,assembly
464,10.788269,6.9031568,asses
465,7.910016,6.3240075,asshole
466,5.3898363,7.13488,assholes
467,22.081865,6.493664,assigned
468,41.070076,6.173517,assignment
469,41.01713,6.0125127,assignments
470,-5.675951,52.121,assistant
471,-21.105227,-5.565961,associate
472,-17.840427,-36.06779,associated
473,-26.595833,-35.303806,association
474,13.352106,-44.354218,assume
475,-6.0204873,5.143783,assumed
476,3.2506413,-22.119139,assuming
477,-10.560284,-8.166637,assure
478,-10.452461,-8.203663,assured
479,14.690719,28.097195,aswell
480,63.36716,48.1301,ata
481,-74.077255,23.531687,ate
482,-22.728815,-22.537739,atheist
483,-5.2296906,25.87269,athletic
484,-14.943123,58.302082,atlanta
485,-30.12415,15.573261,atlantic
486,15.416322,-0.27457967,atleast
487,14.953412,26.2072,atm
488,-37.48559,-46.00894,atmosphere
489,10.420406,-23.7445,attached
490,-35.141254,-28.858448,attack
491,-34.818542,-25.865084,attacked
492,-37.34384,-26.384817,attacking
493,-39.88949,-24.032433,attacks
494,23.53067,-40.143127,attempt
495,14.886895,-11.028281,attempted
496,-2.614815,-15.662502,attempting
497,-14.467434,-30.553802,attempts
498,5.271273,30.948757,attend
499,-1.2619652,26.157331,attendance
500,4.992234,30.83186,attended
501,5.004766,30.875546,attending
502,31.858873,-41.86092,attention
503,6.817963,-4.020405,attitude
504,-18.250051,-26.184391,attitudes
505,-22.865276,-6.4714613,attorney
506,-9.108325,-4.5982804,attract
507,-6.2999144,-16.265171,attracted
508,-9.743689,-16.180893,attraction
509,-5.9903483,-16.526176,attractive
510,20.664661,67.88034,au
511,-1.2860677,-17.435337,audience
512,-7.2941084,-58.979202,audio
513,1.6210783,30.77393,audition
514,1.582917,30.475882,auditions
515,-10.946508,24.875689,auditorium
516,19.15129,39.950626,audrey
517,26.545216,60.7956,auf
518,38.56274,19.80542,aug
519,34.415966,-6.543839,august
520,32.673164,6.2040567,aunt
521,33.627213,34.13789,auntie
522,32.093563,7.9280024,aunts
523,33.67798,34.17776,aunty
524,9.033545,56.22875,austin
525,-43.592903,40.073,australia
526,-45.686554,37.962433,australian
527,-5.4826517,-23.491245,author
528,-27.548218,-29.321278,authority
529,-8.161693,-23.071371,authors
530,-0.5449395,21.009043,auto
531,19.46126,36.490032,autograph
532,-23.846046,4.917291,automatic
533,3.0913172,-36.861217,automatically
534,-48.05523,-42.348953,autumn
535,53.51508,36.419712,av
536,-6.5361686,-51.526344,available
537,10.003523,38.355515,ave
538,-18.722979,55.98692,avenue
539,-11.744394,-46.31206,average
540,27.641184,-38.738884,avoid
541,-14.7254925,-4.2554092,avoided
542,3.4733782,-6.2799473,avoiding
543,-27.9248,46.17045,avril
544,21.504013,18.532457,aw
545,-16.985847,1.1111,awaiting
546,31.520868,-12.037777,awake
547,-2.73665,33.82125,award
548,-2.707018,33.82166,awards
549,12.323063,-44.47807,aware
550,52.9818,-41.411015,away
551,3.6122658,-9.928109,awe
552,49.7133,-30.584991,awesome
553,13.012653,-1.0780474,awful
554,-3.5330932,5.094831,awfully
555,46.994957,-23.088102,awhile
556,6.933569,-10.489934,awkward
557,-45.15669,-3.3309615,awoke
558,24.574762,8.521552,awsome
559,22.534956,19.035688,aww
560,22.394226,19.370434,awww
561,-42.393066,7.272723,axe
562,62.727573,50.77489,ay
563,19.350681,21.07474,aye
564,-23.69475,26.584297,azkaban
565,56.89675,49.701614,ba
566,22.813755,20.423706,babe
567,-40.94093,24.972391,babies
568,51.897026,-28.980726,baby
569,11.886071,37.2295,babysat
570,12.359311,34.24938,babysit
571,12.355809,34.18542,babysitting
572,50.05704,30.22248,bac
573,-5.460779,5.6629953,backed
574,4.0840364,-42.11324,background
575,-21.601435,-13.620392,backing
576,-49.816483,8.210867,backpack
577,-50.770103,-2.2630312,backs
578,-22.598066,37.033367,backup
579,-49.38479,0.87929505,backwards
580,13.845616,-15.831406,backyard
581,-68.531334,27.617256,bacon
582,54.23052,-38.272778,bad
583,-14.943336,21.360239,badass
584,-6.0967526,23.143827,badge
585,43.187176,-9.605227,badly
586,33.674316,19.442225,badminton
587,25.382635,-23.704462,bag
588,-64.054596,21.093542,bagel
589,-38.95468,-25.510149,baghdad
590,-51.381374,10.6270485,bags
591,45.975613,20.057228,bah
592,60.50679,25.134638,bahx
593,43.292995,52.295105,bai
594,22.190798,57.925076,bailey
595,51.007256,34.83811,bak
596,26.530863,36.870495,baka
597,-63.71926,26.019945,bake
598,-69.13506,28.229588,baked
599,2.7172327,45.271885,baker
600,65.780174,48.795464,bakit
601,-10.985591,-35.114365,balance
602,-17.61953,-11.291027,balanced
603,-42.71933,1.9163182,balcony
604,22.356972,58.23917,bald
605,34.11215,-28.74984,ball
606,1.8512788,28.87098,ballet
607,-43.2005,11.086211,balloon
608,-43.254337,11.138185,balloons
609,23.873446,-24.777607,balls
610,-3.0166457,18.31214,bam
611,40.31307,51.359833,ban
612,-69.648254,22.207022,banana
613,-66.830154,21.479584,bananas
614,47.503624,-27.642883,band
615,-28.85449,47.96408,bands
616,26.634274,34.550014,bang
617,-39.868996,3.774681,banging
618,-54.99565,12.507928,bangs
619,-4.692856,-48.01888,bank
620,-28.880455,15.509695,banks
621,-24.071281,-19.712294,banned
622,1.7380929,-31.051542,banner
623,4.558325,28.479002,banquet
624,43.70684,55.01857,bao
625,-26.512945,-19.798403,baptist
626,26.172184,-24.04234,bar
627,-2.9804974,44.95382,barbara
628,-35.157486,22.645508,barbie
629,-43.12279,-2.7893465,bare
630,28.301214,-28.861198,barely
631,-41.73586,19.77216,bark
632,-37.94741,15.757191,barn
633,-24.898857,13.967844,barnes
634,-13.429708,19.344875,barney
635,-42.451385,7.2285924,barrel
636,-19.658892,-16.09038,barrier
637,-0.9414872,49.753357,barry
638,-64.33702,16.396503,bars
639,4.0023894,-44.797695,base
640,32.116924,-0.6093222,baseball
641,18.730146,-41.774246,based
642,14.641958,-17.732742,basement
643,-17.070751,19.650824,bash
644,-0.23810145,3.763023,bashing
645,-7.3775544,-38.23606,basic
646,43.717266,-41.4179,basically
647,9.815401,18.887568,basicly
648,-6.8378778,-25.182196,basics
649,-15.568429,-28.552448,basis
650,-46.456886,16.301044,basket
651,32.811344,-0.10108234,basketball
652,-19.35817,43.727856,bass
653,63.597836,48.041534,basta
654,7.94156,6.292864,bastard
655,5.506176,7.006853,bastards
656,25.372791,37.92918,bat
657,17.169252,27.71599,batch
658,34.86942,-17.76588,bath
659,44.087154,18.910637,bathe
660,30.816105,38.744144,bathed
661,-68.61106,-3.8293786,bathing
662,14.374418,-18.234388,bathroom
663,-25.88443,27.109722,batman
664,-26.314438,5.032795,batteries
665,-25.258337,4.061631,battery
666,-34.08775,-31.254704,battle
667,-22.823013,8.879098,battlefield
668,-22.798811,8.906384,battles
669,-15.880285,56.9576,bay
670,35.49479,21.21609,bb
671,53.497746,17.677523,bball
672,-23.934486,-4.1726665,bbc
673,-63.299057,29.599167,bbq
674,28.08825,14.681843,bc
675,51.914925,21.131508,bcoz
676,26.619469,18.03225,bcuz
677,54.518726,21.916021,bdae
678,43.40673,26.200968,bday
679,37.982246,-26.094555,beach
680,-40.588596,5.936783,beam
681,-69.375824,21.975828,bean
682,-68.57288,27.774263,beans
683,32.325386,-15.89133,bear
684,-54.838276,13.419828,beard
685,-37.673542,5.7361364,bearing
686,-42.852367,22.698378,bears
687,-31.1798,23.635345,beast
688,33.926506,-27.988111,beat
689,-0.8616887,-13.001435,beaten
690,13.184667,-23.04643,beating
691,-30.46568,45.71457,beatles
692,11.180268,-22.142448,beats
693,37.504166,-48.68887,beautiful
694,-12.612712,4.6345825,beautifully
695,12.313405,-53.91405,beauty
696,12.526848,2.7234993,becasue
697,14.721624,52.83912,becca
698,-40.050808,43.09638,beckham
699,14.71797,52.779804,becky
700,42.642025,20.62691,becos
701,52.21862,21.228796,becoz
702,13.746977,0.45407084,becuase
703,26.6617,18.043839,becuz
704,48.070393,-24.129166,bed
705,15.227701,-17.569267,bedroom
706,-52.334038,6.983761,beds
707,-10.84549,13.21019,bedtime
708,30.076174,30.367115,bee
709,-68.71582,28.548405,beef
710,-14.422719,13.798098,beep
711,-73.30765,17.311028,beer
712,-66.74434,11.651843,beers
713,-40.667965,20.843134,bees
714,5.755519,-12.786679,beg
715,29.84847,-30.60623,began
716,-11.751339,10.979018,begged
717,5.5581574,-12.734728,begging
718,29.181776,-41.76836,begin
719,4.995257,-1.4967287,begining
720,29.256437,-41.78796,beginning
721,13.583663,-20.922375,begins
722,13.421322,-20.789347,begun
723,-19.036171,-6.233737,behalf
724,0.46186614,-2.4435227,behave
725,-12.41842,-26.941666,behavior
726,-10.009869,-13.7024355,behaviour
727,-56.297104,-20.329403,beheld
728,-54.368576,-20.451094,behold
729,38.565166,52.207073,bei
730,44.940044,30.028505,bein
731,-20.136675,-32.650677,beings
732,9.353769,15.045214,beleive
733,-20.5587,-30.558634,belief
734,-20.950768,-29.426842,beliefs
735,47.858906,-42.6946,believe
736,-18.154839,-32.555668,believed
737,-22.590094,-22.398973,believers
738,-18.335123,-30.645899,believes
739,-18.620634,-33.971985,believing
740,9.376682,14.994922,belive
741,28.103687,-26.139679,bell
742,-26.80376,40.70913,belle
743,-14.321144,16.495974,bells
744,-55.371815,-3.659314,belly
745,3.082305,-13.547492,belong
746,-28.846247,-12.740599,belongs
747,9.006198,28.568098,beloved
748,-70.67181,-6.916172,belt
749,63.687668,-4.4587383,ben
750,16.400858,-15.444686,bench
751,-49.31385,-1.9454162,bend
752,-41.947895,-44.677513,beneath
753,-21.169546,-38.043705,benefit
754,-23.303747,-37.795715,benefits
755,19.969866,42.031113,benjamin
756,-46.741104,-0.28321937,bent
757,57.740406,21.137604,beri
758,-11.740745,44.773567,berry
759,57.280174,-41.553432,best
760,12.961396,47.31977,bestest
761,44.830666,-15.621931,bet
762,33.07835,23.323818,beta
763,14.47268,52.815342,beth
764,8.973535,46.58911,bethany
765,-4.8373814,-9.144356,betrayed
766,48.675022,26.803883,betta
767,54.09575,-39.991173,better
768,-1.8413115,43.855137,betty
769,-70.29566,15.879848,beverage
770,-16.123634,4.2018976,beware
771,46.168816,23.967022,bf
772,40.89432,52.34656,bi
773,46.070484,53.37626,bian
774,-18.442923,-21.678452,bias
775,-18.419907,-21.649162,biased
776,14.298939,22.05833,biatch
777,6.526546,-57.24346,bible
778,-34.13305,9.147126,bicycle
779,-31.87439,-9.716818,bid
780,52.031216,-36.830845,big
781,16.18947,-30.456066,bigger
782,27.944315,-42.645588,biggest
783,22.646778,-14.357647,bike
784,-36.439926,10.815878,bikes
785,-34.391174,14.86605,biking
786,-69.7844,-4.3400154,bikini
787,-20.779545,11.871964,billboard
788,-24.172516,-42.27307,billion
789,-24.452349,-41.385506,billions
790,-28.573328,-6.672584,bills
791,2.659884,55.864414,billy
792,-11.98427,30.672338,bimbo
793,25.606676,58.4496,bin
794,43.017548,5.0233254,bio
795,-36.54389,-19.882715,biological
796,41.611183,4.195237,biology
797,16.185158,-27.438623,bird
798,-43.066963,-47.96764,birds
799,0.8439612,-51.558537,birth
800,56.548416,-7.770494,birthday
801,9.989325,26.732883,birthdays
802,-9.254825,37.66007,bishop
803,54.37906,-37.31613,bit
804,47.52914,-15.92924,bitch
805,4.6339917,15.364905,bitched
806,22.882345,12.993769,bitches
807,6.788513,3.7676969,bitching
808,4.439719,4.6593423,bitchy
809,-56.089558,-2.9667866,bite
810,-56.036625,-3.3519664,bites
811,-53.20669,-3.6947327,biting
812,-60.467304,7.1109405,bits
813,-3.6640651,-12.267811,bitter
814,7.7811418,10.135112,bittersid
815,-12.032915,4.0348864,bizarre
816,36.234528,35.065502,bk
817,30.274769,26.99269,bla
818,26.823696,-63.514988,black
819,-51.57735,-6.9977865,blade
820,45.67998,-13.648151,blah
821,0.012455613,45.729073,blair
822,7.7626595,52.784286,blake
823,37.984486,-12.761967,blame
824,-19.070835,-8.002557,blamed
825,0.32230517,-4.221414,blaming
826,-17.467134,13.302684,bland
827,11.959571,-13.450564,blank
828,-53.218822,5.695962,blanket
829,-53.079,6.586551,blankets
830,25.827543,6.7892494,blast
831,-15.142011,16.247814,blasted
832,-24.862577,36.663433,blasting
833,-19.907887,-21.325064,blatantly
834,-54.483944,-6.8751974,bled
835,-54.608917,-9.842038,bleed
